Id	Output	PredictedCharacters
51	lendrumbilate	['e', 'r', 't', 'a', 'n', 'o', 'i', 'c', 's', 'd', 'l', 'y', 'u', 'm', 'b']
52	melologue	['e', 'r', 'n', 'l', 'i', 'a', 'o', 'g', 'u', 't', 'd', 'm']
53	carnificine	['e', 't', 'r', 'a', 'i', 'n', 'c', 'f']
54	recte	['a', 'e', 'r', 'n', 'l', 's', 'd', 't', 'i', 'c']
55	impest	['a', 'e', 'r', 'n', 'l', 's', 't', 'i', 'd', 'm', 'b', 'p']
56	nomism	['a', 'e', 'i', 'n', 's', 't', 'h', 'o', 'm']
57	grillage	['a', 'n', 'r', 'e', 't', 'i', 'l', 'g']
58	_o_ocrac_	['e', 'a', 'n', 'r', 't', 'o', 'l', 'u', 'c', 'm', 'b', 'k']
59	puberulent	['e', 'r', 't', 's', 'n', 'i', 'l', 'a', 'o', 'u', 'm', 'p', 'b']
60	a_ull	['a', 'n', 'r', 'l', 'e', 'i', 'o', 'u', 't', 'd', 'b']
61	ostraceous	['e', 'r', 'a', 't', 'n', 's', 'i', 'l', 'd', 'u', 'o', 'g', 'c']
62	_ara_me	['a', 'n', 'r', 'm', 'i', 's', 'e', 'u', 'h', 't', 'l', 'g']
63	larviparous	['e', 'a', 'r', 'i', 't', 'n', 's', 'o', 'u', 'm', 'c', 'l', 'd', 'v', 'k', 'p']
64	essorant	['a', 'n', 'g', 'e', 'r', 't', 'o', 'l', 'm', 's']
65	cicatrization	['e', 'i', 't', 'n', 'o', 'a', 'r', 'c', 's', 'z']
66	scutigerous	['e', 'r', 't', 'i', 'n', 's', 'a', 'o', 'u', 'c', 'v', 'l', 'g']
67	dactylonomy	['e', 'a', 'r', 'n', 'i', 'o', 't', 's', 'l', 'h', 'u', 'c', 'y', 'm', 'd']
68	nuciferous	['e', 'r', 't', 'i', 'n', 's', 'a', 'd', 'o', 'u', 'l', 'm', 'c', 'f']
69	crescograph	['e', 'r', 'a', 't', 'o', 'n', 'u', 'c', 's', 'g', 'p', 'h']
70	mamelon	['a', 'n', 'i', 'e', 'r', 'l', 'o', 'm']
71	seposit	['a', 'e', 'r', 'l', 'n', 's', 'i', 't', 'o', 'p']
72	a__end	['a', 'n', 'i', 'e', 't', 'd', 'r', 'l', 's', 'm', 'k', 'h']
73	uniphonous	['e', 'a', 'i', 'n', 'o', 'r', 'u', 's', 'h', 'c', 't', 'p']
74	e_siccate	['e', 'r', 'n', 'l', 's', 't', 'a', 'i', 'm', 'c', 'u', 'p', 'k', 'w']
75	parata_is	['e', 'a', 'r', 'n', 'm', 'l', 't', 's', 'p', 'i', 'k', 'v', 'd', 'b']
76	alpenstocker	['e', 'r', 't', 's', 'i', 'n', 'a', 'o', 'l', 'd', 'k', 'c', 'm', 'v', 'b', 'p']
77	ilastical	['e', 'a', 'n', 'r', 'l', 'i', 't', 's', 'c']
78	s_o_ts_	['a', 'e', 'i', 'r', 'n', 'o', 'l', 't', 's', 'u', 'h']
79	scoliograptic	['e', 'i', 't', 'n', 's', 'a', 'c', 'r', 'l', 'o', 'g', 'p']
80	s_ongolog_	['e', 'a', 'i', 'r', 'n', 'o', 't', 's', 'c', 'l', 'd', 'g', 'h']
81	viridigenous	['e', 'r', 'a', 't', 'o', 'n', 'i', 's', 'l', 'd', 'm', 'g', 'u', 'v']
82	orchesography	['e', 'r', 'a', 't', 'o', 'n', 'i', 'c', 'h', 's', 'u', 'p', 'g', 'y']
83	_ar_eral	['a', 'n', 'r', 'e', 't', 'i', 'd', 'g', 'b', 'm', 'l', 'k']
84	ass_il	['a', 'n', 'r', 'l', 'e', 'i', 's', 'v', 'h', 't', 'm', 'k']
85	lateritious	['e', 'r', 't', 'a', 's', 'i', 'n', 'c', 'o', 'u', 'w', 'l']
86	saliniform	['e', 'a', 'r', 't', 'o', 'n', 'i', 'c', 'l', 's', 'k', 'm', 'f']
87	trilith	['a', 'e', 'i', 'n', 'l', 's', 't', 'r', 'y', 'o', 'h']
88	visard	['a', 'n', 'r', 'i', 'e', 't', 'l', 's', 'd', 'h', 'm', 'p', 'v']
89	plauditory	['e', 'a', 'r', 't', 'o', 's', 'n', 'i', 'y', 'l', 'd', 'u', 'c', 'p']
90	uretic	['a', 'e', 'r', 'o', 't', 'i', 'c', 'u']
91	a__hi_iolith	['e', 'a', 'n', 't', 'i', 'r', 'l', 'o', 's', 'h', 'c', 'd', 'g', 'v']
92	night_ie_e	['e', 'r', 'n', 't', 's', 'i', 'l', 'a', 'h', 'g', 'f', 'v', 'w', 'm']
93	planetogeny	['e', 'r', 'n', 'i', 'a', 't', 's', 'h', 'o', 'l', 'p', 'g', 'd', 'c', 'b', 'y']
94	canonicate	['e', 't', 's', 'a', 'r', 'n', 'i', 'o', 'c']
95	comstockery	['e', 'r', 't', 'i', 'a', 's', 'o', 'n', 'u', 'l', 'd', 'm', 'c', 'k', 'b', 'y']
96	tautonym	['a', 'n', 'i', 'e', 'o', 't', 's', 'r', 'u', 'g', 'd', 'y', 'm']
97	singultous	['e', 'a', 'i', 'n', 'g', 'r', 'l', 'o', 'u', 't', 's']
98	__ogram	['a', 'n', 'r', 'e', 't', 'o', 'u', 'g', 'p', 'm', 'i', 'l', 'h']
99	obtundent	['e', 'r', 'n', 'i', 'a', 'o', 'g', 't', 's', 'u', 'd', 'b']
100	_ustigate	['e', 'r', 't', 's', 'a', 'i', 'n', 'c', 'm', 'g', 'o', 'u', 'j', 'b', 'l']
101	comate	['a', 'n', 'r', 'l', 'm', 'i', 'e', 't', 'o', 'c']
102	myriacanthous	['e', 'i', 't', 'a', 'n', 'r', 'm', 'o', 'h', 'l', 'b', 'u', 's', 'p', 'y', 'c']
103	omnigenous	['e', 'r', 'n', 'i', 'a', 'o', 'u', 's', 'g', 'h', 'y', 'm']
104	_ardie	['a', 'n', 'r', 'i', 'e', 'd', 'c', 'h', 'm', 'l', 'b', 't', 'g']
105	surexcitation	['e', 'r', 'a', 't', 'i', 'o', 'n', 'l', 's', 'c', 'x', 'u']
106	stanniferous	['e', 'r', 't', 'i', 's', 'a', 'n', 'v', 'c', 'g', 'o', 'u', 'f']
107	spori_erous	['e', 'r', 'a', 'o', 't', 'n', 'i', 's', 'c', 'u', 'h', 'p', 'z', 'd', 'v']
108	vangee	['a', 'n', 'e', 'd', 't', 'g', 'r', 'h', 'l', 'm', 'v']
109	eau_de_nil	['e', 'r', 'n', 'i', 'a', 'o', 's', 'u', 'l', 'j', 't', 'd', 'm', 'f', 'g']
110	e_ungulation	['e', 'r', 'n', 'i', 'a', 'o', 't', 's', 'u', 'l', 'g', 'm', 'd', 'h', 'b', 'p', 'c']
111	ya_ness	['a', 'n', 'i', 'e', 'r', 'o', 'u', 's', 'l', 'g', 'y', 'h', 'w']
112	obturate	['a', 'n', 'r', 'e', 't', 'o', 'u', 's', 'l', 'c', 'i', 'p', 'b']
113	_ar_a_	['a', 'n', 'r', 'i', 'm', 'l', 't', 'e', 's', 'd']
114	torose	['a', 'e', 'l', 'r', 'o', 'n', 't', 's']
115	quar_	['a', 'r', 'e', 'i', 'o', 't', 'd', 's', 'u', 'g', 'q', 'k']
116	remigate	['a', 'n', 'r', 'i', 'l', 't', 'e', 'c', 'm', 's', 'g']
117	dissepiment	['e', 'r', 'n', 't', 'l', 's', 'i', 'm', 'd', 'v', 'c', 'k', 'p']
118	fusillation	['e', 'a', 'r', 'n', 'i', 'o', 't', 'l', 'v', 'h', 'm', 'd', 's', 'u', 'f']
119	maulstick	['e', 'a', 'n', 'r', 'l', 'i', 't', 's', 'o', 'u', 'c', 'h', 'k', 'p', 'm']
120	genethlialogy	['e', 'r', 'n', 's', 't', 'i', 'a', 'l', 'o', 'g', 'u', 'h', 'y']
121	_anthophyll	['e', 'a', 'r', 'n', 't', 'i', 'h', 'o', 'p', 'y', 's', 'l', 'm', 'c', 'k', 'v']
122	plataleiform	['e', 'r', 'a', 't', 'n', 'l', 'o', 's', 'i', 'd', 'b', 'c', 'g', 'm', 'f', 'u', 'p']
123	acritochromacy	['e', 'i', 't', 'r', 'a', 'o', 'n', 'u', 'c', 'h', 'm', 'k', 's', 'y']
124	logarithmancy	['e', 'i', 't', 'r', 'a', 'h', 'm', 'n', 's', 'd', 'g', 'o', 'c', 'l', 'u', 'y']
125	ligulate	['a', 'n', 'r', 'l', 'e', 'i', 't', 'u', 'c', 'm', 'g']
126	tosticated	['e', 'r', 'n', 'l', 's', 't', 'a', 'i', 'c', 'o', 'd']
127	abampere	['a', 'n', 'r', 'e', 'l', 't', 'm', 'b', 'p']
128	pantosophy	['e', 'a', 'r', 'n', 't', 'i', 'h', 'o', 'l', 's', 'p', 'y']
129	emacity	['a', 'n', 'r', 'l', 'm', 'i', 't', 's', 'e', 'k', 'c', 'y']
130	__lopolist	['e', 'a', 'i', 'n', 'l', 'o', 'p', 'u', 's', 'h', 't', 'k', 'v', 'c']
131	_al__ine	['a', 'n', 'i', 'r', 'l', 'e', 't', 'm', 'd', 's', 'o', 'h', 'k']
132	tachy_raphy	['e', 'a', 'r', 't', 'n', 'l', 'c', 'o', 'h', 'i', 'u', 's', 'y', 'p', 'd']
133	urbanology	['e', 'a', 'r', 't', 'o', 'n', 'l', 'g', 'i', 'y', 'm', 'b', 'u']
134	_erbori_e	['e', 'r', 'a', 'i', 't', 'n', 'o', 's', 'm', 'b', 'd', 'c', 'l']
135	e_te_ia	['a', 'm', 'r', 'l', 'h', 't', 'e', 'n', 's', 'i', 'd', 'c']
136	quotatious	['e', 'a', 'r', 'n', 'l', 't', 's', 'i', 'o', 'u', 'q']
137	retiform	['a', 'e', 'r', 'o', 'i', 'n', 't', 'c', 's', 'm', 'f']
138	s_ine	['a', 'e', 'r', 'l', 'n', 'i', 't', 'm', 's', 'h', 'p', 'k']
139	onomasiology	['e', 'a', 'r', 'n', 'i', 't', 'o', 'l', 'g', 'v', 'd', 's', 'm', 'y']
140	palaeolimnology	['e', 'r', 'n', 't', 'o', 'i', 'l', 'a', 'g', 'm', 'y', 'p']
141	choller	['a', 'e', 'r', 'l', 'i', 'o', 'c', 'h']
142	symposiarch	['e', 'a', 'r', 'i', 't', 'l', 's', 'o', 'c', 'h', 'p', 'm', 'y']
143	trochiline	['e', 't', 'i', 'n', 'l', 'a', 'r', 'o', 'm', 's', 'b', 'u', 'v', 'h', 'p', 'c']
144	stevedorage	['e', 'r', 't', 'n', 's', 'l', 'd', 'i', 'a', 'o', 'm', 'v', 'g']
145	_anthoderm	['e', 'r', 't', 'i', 'a', 's', 'n', 'o', 'h', 'l', 'm', 'v', 'p', 'd', 'c', 'k', 'b']
146	distrait	['a', 'n', 'r', 'e', 't', 's', 'i', 'd']
147	i__udicity	['e', 'a', 'i', 'n', 'l', 't', 'r', 's', 'c', 'y', 'd', 'o', 'u', 'j']
148	lutrine	['a', 'e', 'l', 'i', 'n', 'o', 't', 'r', 's', 'u']
149	dispendious	['e', 'r', 'n', 't', 'g', 'd', 'i', 's', 'c', 'p', 'a', 'o', 'u']
150	inspissate	['e', 't', 's', 'i', 'a', 'n', 'k', 'm', 'h', 'c', 'w', 'u', 'p']
151	ne_ist	['a', 'e', 'r', 'n', 's', 'i', 'l', 't', 'm', 'd', 'v', 'g', 'x']
152	preallable	['e', 'r', 'a', 't', 'n', 'l', 'b', 'o', 'u', 'g', 'c', 'p']
153	vellicative	['e', 'r', 'n', 't', 's', 'i', 'l', 'c', 'a', 'v']
154	situationism	['e', 'a', 'r', 'n', 'i', 'o', 't', 's', 'h', 'u', 'm']
155	tubulate	['a', 'n', 'r', 'l', 'e', 't', 'u', 'm', 'b']
156	ice_lin_	['a', 'e', 'r', 'n', 'i', 'l', 's', 't', 'd', 'g', 'o', 'c', 'p']
157	monanthous	['e', 'a', 'r', 'n', 'i', 'o', 't', 'h', 'l', 's', 'u', 'b', 'c', 'm']
158	panomphaean	['e', 'r', 'n', 'i', 'a', 't', 'h', 'c', 's', 'p', 'o', 'l', 'm']
159	_arara_a	['a', 'r', 'm', 'n', 't', 's', 'h', 'l', 'b', 'k']
160	_labellate	['e', 'r', 'n', 'l', 'i', 'a', 't', 'b', 'o', 'u', 's', 'g', 'c']
161	hephaestic	['e', 'r', 'n', 'l', 's', 't', 'i', 'd', 'c', 'v', 'm', 'g', 'h', 'a', 'p']
162	ontosophy	['e', 'a', 'i', 'r', 'n', 'o', 't', 'l', 'm', 'p', 'c', 's', 'h', 'y']
163	mariolatry	['e', 'a', 'r', 'i', 'n', 't', 'm', 'o', 'l', 'u', 'y']
164	desinent	['a', 'e', 'r', 'n', 'i', 'l', 't', 'm', 's', 'd']
165	a_ust	['a', 'n', 'r', 'l', 's', 'i', 'e', 'o', 'u', 't', 'g', 'm']
166	ectogenesis	['e', 'r', 'n', 's', 'i', 'v', 'g', 'o', 'l', 't', 'a', 'c']
167	_o__o_	['a', 'e', 'i', 'n', 'r', 'o', 'l', 's', 't']
168	s__hastation	['e', 'a', 'r', 'n', 'i', 't', 'o', 's', 'c', 'h', 'p', 'g', 'k', 'l', 'm']
169	ti_olo__	['a', 'e', 'i', 'n', 'l', 'o', 'c', 'r', 't', 's', 'm', 'p']
170	_eatar_	['a', 'n', 'r', 'm', 'l', 't', 'i', 'e', 's', 'o', 'd', 'b']
171	pluriliteral	['e', 'r', 'a', 't', 'n', 's', 'i', 'l', 'o', 'u', 'p']
172	insolate	['a', 'n', 'i', 'g', 'e', 't', 'd', 's', 'h', 'k', 'c', 'o', 'l']
173	_se__itic	['e', 'r', 'n', 'l', 's', 'a', 'i', 't', 'd', 'c', 'm', 'u', 'o']
174	sca__le	['a', 'n', 'r', 'l', 'e', 'i', 'o', 't', 's', 'h', 'c', 'u', 'b']
175	_ro_ler_	['a', 'e', 'r', 'i', 'o', 't', 'n', 'u', 's', 'd', 'l', 'b']
176	ischiatic	['e', 'a', 'n', 'r', 'l', 'm', 't', 'i', 'c', 'h', 's']
177	vaticinal	['e', 'a', 'n', 'i', 'r', 'l', 'm', 't', 's', 'c', 'h', 'p', 'b', 'v']
178	emporeutic	['e', 'r', 'a', 'n', 's', 't', 'i', 'c', 'u', 'k', 'g', 'o', 'l', 'm', 'p']
179	_neometer	['e', 'r', 'n', 'l', 's', 't', 'i', 'a', 'o', 'm', 'u', 'y', 'g', 'w']
180	_ru_i_erous	['e', 'r', 'a', 'o', 't', 'i', 'n', 's', 'u', 'd', 'l', 'c', 'm', 'b']
181	withoutside	['e', 't', 'i', 'r', 'a', 's', 'n', 'd', 'u', 'o', 'h', 'l', 'w']
182	stasimorphy	['e', 'a', 'r', 't', 's', 'i', 'o', 'n', 'c', 'm', 'p', 'h', 'y']
183	myringa	['a', 'm', 'e', 'i', 'n', 'g', 'l', 'r', 'o', 'u', 'p', 'b', 'y']
184	lyterian	['a', 'n', 'm', 'r', 'e', 'i', 't', 's', 'o', 'u', 'c', 'l', 'y']
185	latitudinarianism	['i', 't', 's', 'n', 'o', 'a', 'r', 'e', 'm', 'l', 'u', 'd']
186	ne__ric	['a', 'e', 'r', 'o', 'i', 'n', 't', 's', 'l', 'c', 'u', 'd', 'b']
187	wieldless	['e', 'r', 'n', 'l', 'a', 'i', 'd', 's', 'f', 'h', 'y', 'w']
188	chevalet	['a', 'n', 'r', 'l', 'i', 'e', 'd', 's', 't', 'm', 'v', 'h', 'c']
189	emmenology	['e', 'r', 'n', 't', 's', 'd', 'g', 'a', 'i', 'o', 'l', 'h', 'y', 'm']
190	_la_a_e	['a', 'n', 'r', 'l', 'm', 't', 's', 'i', 'e', 'd', 'b']
191	rarissima	['e', 'a', 'r', 'i', 'n', 'l', 't', 'c', 's', 'm']
192	__incaillerie	['e', 'r', 't', 'i', 'n', 's', 'l', 'v', 'm', 'g', 'd', 'a', 'c', 'h', 'k']
193	misaunter	['e', 'r', 't', 's', 'a', 'n', 'i', 'u', 'l', 'h', 'm']
194	eburnean	['a', 'n', 'i', 'e', 'o', 'r', 'u', 'b']
195	loan__ord	['e', 'a', 'n', 'g', 't', 'd', 'i', 'o', 'r', 'c', 's', 'l', 'h', 'm']
196	heterotransplantation	['a', 'l', 't', 's', 'n', 'i', 'o', 'e', 'r', 'p', 'm', 'd', 'h']
197	ascian	['a', 'n', 'r', 'l', 'm', 's', 'h', 't', 'e', 'i', 'c']
198	frumentarious	['e', 'r', 'a', 't', 's', 'n', 'i', 'o', 'u', 'm', 'b', 'g', 'k', 'c', 'd', 'f']
199	bucentaur	['e', 'r', 'a', 'n', 't', 'l', 'i', 'm', 'u', 'd', 's', 'c', 'b']
200	trichoclasis	['e', 'a', 'r', 't', 'i', 'n', 'l', 's', 'o', 'p', 'c', 'h']
201	flagelliform	['e', 'r', 'a', 't', 'n', 'l', 'i', 's', 'c', 'b', 'o', 'm', 'f', 'd', 'v', 'g']
202	butyraceous	['e', 'r', 'a', 't', 'n', 's', 'i', 'o', 'u', 'g', 'c', 'h', 'b', 'y']
203	__loe	['a', 'e', 'r', 'l', 'i', 'o', 'u', 'b', 'f', 'c', 'g']
204	__antometer	['e', 'r', 'n', 't', 'i', 'a', 'm', 'o', 's', 'l', 'c', 'h', 'p', 'y', 'k']
205	araneidan	['e', 'r', 'a', 'n', 's', 'l', 't', 'm', 'd', 'i']
206	dyslogistic	['e', 'a', 'i', 'n', 't', 's', 'c', 'r', 'l', 'o', 'g', 'u', 'y', 'm', 'h', 'd']
207	_a_eson	['a', 'n', 'i', 'e', 'r', 'l', 'o', 't', 's', 'm', 'd', 'g', 'k']
208	callant	['a', 'n', 'r', 'l', 'd', 't', 'h', 'b', 'm', 'c']
209	arthrology	['e', 'a', 'n', 'r', 'o', 't', 'h', 'p', 'm', 'l', 'g', 'i', 'y']
210	corrivate	['e', 'r', 'a', 'o', 'i', 'n', 'c', 's', 't', 'g', 'm', 'd', 'l', 'v']
211	lo_uplete	['e', 'r', 'n', 'l', 'a', 'i', 's', 'o', 't', 'p', 'm', 'u', 'w', 'd']
212	tuitive	['a', 'e', 'l', 'r', 'n', 't', 'i', 'u', 'v']
213	necrolatry	['e', 'r', 'a', 't', 'i', 'o', 'n', 'u', 'm', 'p', 'c', 'l', 'y']
214	pharology	['e', 'a', 'n', 'r', 'i', 't', 'o', 'l', 'g', 'y', 'c', 'm', 'h', 's', 'p']
215	suscipient	['e', 'r', 'n', 't', 'm', 'l', 'd', 's', 'i', 'c', 'p', 'u']
216	__idditative	['e', 't', 'i', 'a', 'v', 'l', 'n', 'r', 's', 'c', 'd', 'm', 'h', 'b']
217	isapostolic	['e', 'a', 'r', 'n', 't', 's', 'i', 'o', 'l', 'c', 'p']
218	_actanc_	['a', 'n', 'r', 't', 's', 'i', 'e', 'l', 'c', 'h', 'o', 'k']
219	_ar_olog_	['e', 'a', 'n', 'r', 'i', 't', 'o', 'l', 'c', 'm', 's', 'g', 'h']
220	_enosis	['a', 'e', 'r', 'l', 'n', 't', 'g', 'd', 'i', 's', 'o', 'm', 'h']
221	__elli_	['a', 'e', 'r', 'l', 'i', 'n', 't', 's', 'c', 'g', 'd']
222	__irister	['e', 'r', 'a', 'o', 't', 's', 'i', 'h', 'm', 'l', 'd', 'k', 'g']
223	cardial_ia	['e', 'a', 'r', 't', 'n', 'l', 'i', 'd', 'o', 'c', 'y', 's', 'p', 'b']
224	_on_le	['a', 'e', 'l', 'o', 'r', 'n', 'g', 'i', 'd', 't', 's', 'k']
225	demogenic	['e', 'r', 'n', 't', 's', 'd', 'l', 'g', 'a', 'i', 'o', 'c', 'm']
226	passalorynchite	['e', 't', 'a', 'n', 'i', 'r', 'o', 'l', 'u', 'y', 's', 'c', 'h', 'm', 'p']
227	__ememe	['a', 'e', 'r', 'l', 'n', 's', 't', 'd', 'm', 'c']
228	pastose	['a', 'n', 'r', 'l', 'm', 't', 's', 'e', 'i', 'o', 'c', 'p']
229	_enogenesis	['e', 'r', 'n', 't', 's', 'i', 'g', 'a', 'o', 'l', 'h', 'c', 'd', 'm']
230	tinction	['a', 'e', 'i', 'n', 'o', 't', 'c']
231	racemation	['e', 'r', 'n', 'i', 'a', 't', 'o', 'l', 'm', 'd', 'c']
232	nigrities	['e', 'r', 'a', 'o', 't', 'i', 's', 'c', 'u', 'b', 'n', 'g']
233	trane_t	['a', 'n', 'g', 'e', 'r', 't', 's', 'i', 'l', 'o', 'f', 'y', 'x']
234	s__arrose	['e', 'r', 'a', 'i', 'o', 'n', 'w', 't', 'm', 'l', 'c', 's', 'h']
235	delitescent	['e', 'r', 'n', 't', 's', 'c', 'i', 'l', 'd']
236	latrant	['a', 'n', 'r', 'e', 't', 'm', 'p', 'h', 'l']
237	illapse	['a', 'n', 'r', 'l', 'e', 'i', 't', 's', 'u', 'm', 'p']
238	_urley	['a', 'e', 'r', 'i', 'o', 't', 'u', 'n', 's', 'l', 'y', 'b', 'h']
239	multiloquence	['e', 'r', 'n', 't', 'i', 's', 'a', 'c', 'l', 'u', 'm', 'q', 'o']
240	ideogenous	['e', 'r', 'n', 't', 's', 'd', 'i', 'a', 'l', 'g', 'o', 'u']
241	e_heredate	['e', 'r', 'n', 's', 'l', 't', 'a', 'm', 'g', 'd', 'v', 'h', 'c', 'p']
242	hymnography	['e', 'a', 'r', 't', 'n', 'i', 'o', 'u', 'g', 'h', 'p', 'y', 'm']
243	_i_ari__s	['e', 'a', 'n', 'r', 'i', 't', 'l', 'c', 's', 'm', 'd', 'g']
244	aboutsledge	['e', 'r', 'n', 't', 's', 'i', 'a', 'l', 'u', 'o', 'b', 'y', 'f', 'v', 'd', 'g']
245	lethologica	['e', 'r', 'n', 's', 'l', 'a', 'i', 't', 'o', 'h', 'g', 'c']
246	paralipsis	['e', 'a', 'r', 'n', 'l', 'i', 's', 'o', 't', 'p']
247	primiparous	['e', 'a', 'r', 'i', 't', 'n', 'c', 's', 'o', 'u', 'l', 'm', 'd', 'p']
248	_a__t_	['a', 'n', 'r', 'l', 'm', 's', 't', 'e', 'i', 'o']
249	psilanthropism	['e', 'i', 't', 'n', 'o', 'a', 'r', 'h', 'm', 's', 'l', 'u', 'p']
